Country,Year,Coffee_Type,Metric,ValueCoffee
Lao Peoples Democratic Republic,1998,Domestic Consumption,Domestic Consumption,120000.0
Finland,1999,Domestic Consumption,Domestic Consumption,120000.0
Rwanda,2000,Domestic Consumption,Domestic Consumption,120000.0
Liberia,2001,Domestic Consumption,Domestic Consumption,120000.0
Guatemala,2002,Domestic Consumption,Domestic Consumption,120000.0
Angola,2003,Domestic Consumption,Domestic Consumption,120000.0
Uganda,2004,Domestic Consumption,Domestic Consumption,120000.0
Italy,2005,Domestic Consumption,Domestic Consumption,114360.0
Brazil,2006,Domestic Consumption,Domestic Consumption,93600.0
Democratic Republic of Congo,2007,Domestic Consumption,Domestic Consumption,81420.0
Netherlands,2008,Domestic Consumption,Domestic Consumption,86100.0
United States of America,2009,Domestic Consumption,Domestic Consumption,83940.0
Cameroon,2010,Domestic Consumption,Domestic Consumption,120000.0
Madagascar,2011,Domestic Consumption,Domestic Consumption,120000.0
Sri Lanka,2012,Domestic Consumption,Domestic Consumption,120000.0
Indonesia,2013,Domestic Consumption,Domestic Consumption,120000.0
Jamaica,2014,Domestic Consumption,Domestic Consumption,120000.0
Philippines,2015,Domestic Consumption,Domestic Consumption,120000.0
Germany,2016,Domestic Consumption,Domestic Consumption,120000.0
Cuba,2017,Domestic Consumption,Domestic Consumption,120000.0
Lithuania,2018,Domestic Consumption,Domestic Consumption,120000.0
Hungary,2019,Domestic Consumption,Domestic Consumption,120000.0
Cyprus,1990,Domestic Consumption,Domestic Consumption,21000000.0
Malawi,1991,Domestic Consumption,Domestic Consumption,21000000.0
Switzerland,1992,Domestic Consumption,Domestic Consumption,21000000.0
Estonia,1993,Domestic Consumption,Domestic Consumption,21000000.0
Ecuador,1994,Domestic Consumption,Domestic Consumption,21000000.0
Nigeria,1995,Domestic Consumption,Domestic Consumption,21000000.0
El Salvador,1996,Domestic Consumption,Domestic Consumption,18000000.0
Malta,1997,Domestic Consumption,Domestic Consumption,18000000.0
Ethiopia,1998,Domestic Consumption,Domestic Consumption,18000000.0
United Kingdom,1999,Domestic Consumption,Domestic Consumption,13800000.0
Mexico,2000,Domestic Consumption,Domestic Consumption,12000000.0
Sierra Leone,2001,Domestic Consumption,Domestic Consumption,12000000.0
Sweden,2002,Domestic Consumption,Domestic Consumption,9000000.0
Honduras,2003,Domestic Consumption,Domestic Consumption,9000000.0
Viet Nam,2004,Domestic Consumption,Domestic Consumption,9000000.0
Nicaragua,2005,Domestic Consumption,Domestic Consumption,9000000.0
Kenya,2006,Domestic Consumption,Domestic Consumption,9000000.0
Unspecified EU stocks,2007,Domestic Consumption,Domestic Consumption,9000000.0
Peru,2008,Domestic Consumption,Domestic Consumption,9000000.0
Czechia,2009,Domestic Consumption,Domestic Consumption,9000000.0
India,2010,Domestic Consumption,Domestic Consumption,9000000.0
Côte d Ivoire,2011,Domestic Consumption,Domestic Consumption,9000000.0
Croatia,2012,Domestic Consumption,Domestic Consumption,9000000.0
Austria,2013,Domestic Consumption,Domestic Consumption,9300000.0
Greece,2014,Domestic Consumption,Domestic Consumption,9300000.0
Timor-Leste,2015,Domestic Consumption,Domestic Consumption,9300000.0
Equatorial Guinea,2016,Domestic Consumption,Domestic Consumption,9300000.0
Trinidad & Tobago,2017,Domestic Consumption,Domestic Consumption,9300000.0
Belgium/Luxembourg,2018,Domestic Consumption,Domestic Consumption,9300000.0
Zimbabwe,2019,Domestic Consumption,Domestic Consumption,8940000.0
Poland,1990,Domestic Consumption,Domestic Consumption,74520000.0
Bulgaria,1991,Domestic Consumption,Domestic Consumption,76800000.0
Central African Republic,1992,Domestic Consumption,Domestic Consumption,79140000.0
Togo,1993,Domestic Consumption,Domestic Consumption,81540000.0
Burundi,1994,Domestic Consumption,Domestic Consumption,84000000.0
Guyana,1995,Domestic Consumption,Domestic Consumption,86580000.0
Slovenia,1996,Domestic Consumption,Domestic Consumption,89160000.0
Tunisia,1997,Domestic Consumption,Domestic Consumption,91920000.0
Haiti,1998,Domestic Consumption,Domestic Consumption,94680000.0
Ireland,1999,Domestic Consumption,Domestic Consumption,97560000.0
Latvia,2000,Domestic Consumption,Domestic Consumption,100560000.0
Slovakia,2001,Domestic Consumption,Domestic Consumption,120000000.0
Gabon,2002,Domestic Consumption,Domestic Consumption,106740000.0
Guinea,2003,Domestic Consumption,Domestic Consumption,109980000.0
Thailand,2004,Domestic Consumption,Domestic Consumption,120000000.0
Norway,2005,Domestic Consumption,Domestic Consumption,150000000.0
France,2006,Domestic Consumption,Domestic Consumption,169980000.0
Dominican Republic,2007,Domestic Consumption,Domestic Consumption,199980000.0
Luxembourg,2008,Domestic Consumption,Domestic Consumption,199980000.0
Belgium,2009,Domestic Consumption,Domestic Consumption,199980000.0
Japan,2010,Domestic Consumption,Domestic Consumption,199980000.0
Yemen,2011,Domestic Consumption,Domestic Consumption,220020000.0
Spain,2012,Domestic Consumption,Domestic Consumption,234000000.0
Papua New Guinea,2013,Domestic Consumption,Domestic Consumption,255000000.0
Venezuela,2014,Domestic Consumption,Domestic Consumption,265020000.0
Congo,2015,Domestic Consumption,Domestic Consumption,273000000.0
Ghana,2016,Domestic Consumption,Domestic Consumption,279000000.0
Denmark,2017,Domestic Consumption,Domestic Consumption,285000000.0
Romania,2018,Domestic Consumption,Domestic Consumption,288000000.0
Colombia,2019,Domestic Consumption,Domestic Consumption,288360000.0
Panama,1990,Domestic Consumption,Domestic Consumption,21000000.0
Bolivia,1991,Domestic Consumption,Domestic Consumption,18000000.0
Tanzania,1992,Domestic Consumption,Domestic Consumption,21000000.0
Nepal,1993,Domestic Consumption,Domestic Consumption,21600000.0
Russian Federation,1994,Domestic Consumption,Domestic Consumption,9999960.0
Zambia,1995,Domestic Consumption,Domestic Consumption,10020000.0
Portugal,1996,Domestic Consumption,Domestic Consumption,10020000.0
Costa Rica,1997,Domestic Consumption,Domestic Consumption,10020000.0
Paraguay,1998,Domestic Consumption,Domestic Consumption,10020000.0
Lao Peoples Democratic Republic,1999,Domestic Consumption,Domestic Consumption,3360000.0
Finland,2000,Domestic Consumption,Domestic Consumption,5346000.0
Rwanda,2001,Domestic Consumption,Domestic Consumption,7680000.0
Liberia,2002,Domestic Consumption,Domestic Consumption,13020000.0
